kode,lat,lng,jml
SMP1,-7.288017594682292,112.77704278958333,192
SMP2,-7.3333791665625,112.74967674921875,128
SMP3,-7.27474789468125,112.75133529625,160
SMP4,-7.313670871645833,112.68852792152778,144
SMP5,-7.318245874291667,112.68332070416666,96
SMP6,-7.213891834398438,112.7578464765625,128
SMP7,-7.240391041589286,112.75322777946428,112
SMP8,-7.236809050131945,112.61222933055555,144
SMP9,-7.257662649929688,112.7355260796875,128
SMP10,-7.231609638395834,112.77934761805555,144
SMP11,-7.3371352788749995,112.71935904431818,176
SMP12,-7.2242894979375,112.7453152921875,128
SMP13,-7.261017282109375,112.78250376875,128
SMP14,-7.308667613675,112.79190520625001,160
SMP15,-7.3374644728125,112.79610241666667,96
SMP16,-7.247670776035714,112.75171311785714,112
SMP17,-7.328068736916666,112.69623285486111,144
SMP18,-7.3244791737,112.70664034625,160
SMP19,-7.28153738071875,112.71057958333333,96
SMP20,-7.250209973625,112.76504193958333,144
SMP21,-7.3062172161625,112.732516570625,160
SMP22,-7.304272819052083,112.77577738958334,96
SMP23,-7.25501233304375,112.750245955,160
SMP24,-7.308163550465278,112.75989847708334,144
SMP25,-7.249990539455357,112.72821855089286,112
SMP26,-7.2968748224375,112.75470563203125,128
SMP27,-7.30553126983125,112.664820563125,160
SMP28,-7.233629905775,112.77846707,160
SMP29,-7.226191515515625,112.77477572708334,192
SMP30,-7.316184499926137,112.71274672670455,176
SMP31,-7.2970521087125,112.745993555625,160
SMP32,-7.25776314541875,112.66131317625,160
SMP33,-7.3097389344875,112.649125174375,160
SMP34,-7.32753012569375,112.771223584375,160
SMP35,-7.219329956585938,112.76639589296875,128
SMP36,-7.26835473615625,112.655978786875,160
SMP37,-7.319910735520834,112.73884270833334,144
SMP38,-7.318819188652777,112.77923777708334,144
SMP39,-7.26130359110625,112.71194924,160
SMP40,-7.24222592684375,112.730459495625,160
SMP41,-7.32036798076875,112.761268039375,160
SMP42,-7.266976779585938,112.7564772203125,128
SMP43,-7.248412537148438,112.71611368203125,128
SMP44,-7.234763751132813,112.72938359765625,128
SMP45,-7.329704679368056,112.71694972291667,144
SMP46,-7.276007674680556,112.73196194583333,144
SMP47,-7.253620506232143,112.63608743571429,112
SMP48,-7.224791022554688,112.72997146953125,128
SMP49,-7.263574004401786,112.69801297678572,112
SMP50,-7.288881859803571,112.71391142857144,112
SMP51,-7.244180296375,112.78949191607143,112
SMP52,-7.336420511357143,112.73663212321429,112
SMP53,-7.2653326937500005,112.67208015357143,112
SMP54,-7.286957013008928,112.69651275357143,112
SMP55,-7.260582779107143,112.73460877053571,112
SMP56,-7.2278118223125,112.76688035104166,96
SMP57,-7.25703644615625,112.65507657916666,96
SMP58,-7.335711395090909,112.68171057878789,99
SMP59,-7.3228894563125,112.71854696979166,96
SMP60,-7.231293384729167,112.74611856354167,96
SMP61,-7.2303867695104165,112.73391111770833,96
SMP62,-7.239839447895833,112.74686559583334,96
SMP63,-7.234362078109589,112.66543658356164,73
