kode,lat,lng,jml,polygons,colors
SMP1,-7.288017594682292,112.77704278958333,192,"[[112.77151707,  -7.27284757], [112.80928396,  -7.28048616], [112.78644203,  -7.29692615], [112.76705209,  -7.29541673], [112.76266106,  -7.28434292], [112.76561906,  -7.27861236]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP2,-7.3333791665625,112.74967674921875,128,"[[112.76477525,  -7.42763362], [112.74170832,  -7.32869731], [112.75001716,  -7.32201366], [112.76075575,  -7.33158036], [112.77017442,  -7.36627708]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP3,-7.27474789468125,112.75133529625,160,"[[112.76561906,  -7.27861236], [112.76266106,  -7.28434292], [112.75013161,  -7.28625138], [112.74223268,  -7.28435963], [112.74127724,  -7.26966659], [112.74506301,  -7.26519626], [112.74532142,  -7.265182  ]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP4,-7.313670871645833,112.68852792152778,144,"[[112.69845204,  -7.3176206 ], [112.69092413,  -7.32164911], [112.67770393,  -7.30660202], [112.68104092,  -7.29688272], [112.70186419,  -7.30310684], [112.70075909,  -7.31375447]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP5,-7.318245874291667,112.68332070416666,96,"[[112.69092413,  -7.32164911], [112.67770393,  -7.30660202], [112.6648208 ,  -7.32534737], [112.68658437,  -7.32735373]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP6,-7.213891834398438,112.7578464765625,128,"[[112.61909142,  -6.80632313], [112.66702301,  -7.02270322], [112.7368864 ,  -7.20138099], [112.75630474,  -7.22478382], [112.75735687,  -7.22410101], [241.71012099, 195.50596632], [ 75.26563156, 230.53944703]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP7,-7.240391041589286,112.75322777946428,112,"[[112.74975617,  -7.24346616], [112.75905193,  -7.24540029], [112.76446436,  -7.23888804], [112.7566411 ,  -7.23039724], [112.75047122,  -7.23521859]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP8,-7.236809050131945,112.61222933055555,144,"[[-101.8025561 , -115.75685596], [112.58982256,  -7.29394273], [112.63834959,  -7.22507522], [112.61909142,  -6.80632313], [ 75.26563156, 230.53944703]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP9,-7.257662649929688,112.7355260796875,128,"[[112.74120689,  -7.24875808], [112.74165083,  -7.24947727], [112.74388629,  -7.26189301], [112.72848341,  -7.25705446], [112.73750223,  -7.24846422], [112.73964143,  -7.2477621 ]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP10,-7.231609638395834,112.77934761805555,144,"[[112.77478394,  -7.23082256], [112.78673106,  -7.23602979], [299.76530732, 143.6523647 ], [296.40306497, 147.71739454]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP11,-7.3371352788749995,112.71935904431818,176,"[[ 103.61938844, -247.44817264], [ 111.72431335, -248.25283765], [112.75493989,  -7.98791432], [112.72772818,  -7.33031574], [112.70670601,  -7.33713204], [112.70557395,  -7.33826969], [112.6999195 ,  -7.35269261]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
SMP12,-7.2242894979375,112.7453152921875,128,"[[112.73761252,  -7.22359611], [112.7368864 ,  -7.20138099], [112.75630474,  -7.22478382], [112.75600624,  -7.22661137], [112.74019421,  -7.22842484]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP13,-7.261017282109375,112.78250376875,128,"[[112.77151707,  -7.27284757], [112.80928396,  -7.28048616], [112.8390424,  -7.2746148], [112.77775593,  -7.249178  ], [112.76924577,  -7.26292824]]","[230.22641093100003, 215.4228909, 207.052307604, 0.9]"
SMP14,-7.308667613675,112.79190520625001,160,"[[112.80928396,  -7.28048616], [112.8390424,  -7.2746148], [113.22570258,  -7.26014493], [112.79314311,  -7.32319149], [112.78280132,  -7.3102867 ], [112.78644203,  -7.29692615]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
SMP15,-7.3374644728125,112.79610241666667,96,"[[ 111.72431335, -248.25283765], [352.89182154,   9.72358246], [113.22570258,  -7.26014493], [112.79314311,  -7.32319149], [112.78411996,  -7.33135293], [112.77017442,  -7.36627708], [112.76477525,  -7.42763362], [112.75493989,  -7.98791432]]","[236.35515989700002, 128.882494304, 100.69079881699999, 0.9]"
SMP16,-7.247670776035714,112.75171311785714,112,"[[112.74975617,  -7.24346616], [112.75905193,  -7.24540029], [112.75766555,  -7.25267771], [112.74165083,  -7.24947727], [112.74120689,  -7.24875808]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP17,-7.328068736916666,112.69623285486111,144,"[[112.70557395,  -7.33826969], [112.6999195 ,  -7.35269261], [112.68658437,  -7.32735373], [112.69092413,  -7.32164911], [112.69845204,  -7.3176206 ]]","[193.42740055, 212.36058148499998, 244.394002955, 0.9]"
SMP18,-7.3244791737,112.70664034625,160,"[[112.70670601,  -7.33713204], [112.70557395,  -7.33826969], [112.69845204,  -7.3176206 ], [112.70075909,  -7.31375447], [112.71241339,  -7.32233414], [112.71278726,  -7.32513437]]","[146.893079596, 180.73886906, 254.42742096, 0.9]"
