lat,lng,class,colors
-7.2527330679999995,112.658573,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.3062338,112.7325742,20,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
-7.33062046,112.7881658,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.330742825,112.7473506,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.234903926,112.7763979,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.345145551,112.72440209999999,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.316575099,112.75430759999999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.29625667,112.75826950000001,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.309478827,112.64529850000001,32,"[152.52568301011766, 155.2450468277647, 159.39728466564705, 0.9]"
-7.266650568999999,112.75581499999998,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.307667747999999,112.7255557,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.308709031,112.6736142,26,"[168.43927854, 146.2026062230588, 134.48816524517648, 0.9]"
-7.2418907070000005,112.7912315,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.318097452000001,112.7771013,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.313088444,112.7184758,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.259310142,112.75826709999998,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.221158027,112.735965,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.259012245,112.6647297,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.242270142000001,112.79180990000002,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.242405098,112.79442009999998,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.2419159,112.7925699,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.266521315,112.64608510000001,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.242182000000001,112.71616499999999,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.2254976,112.7239743,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.337511202999999,112.72615420000001,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.33037215,112.7730699,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.254777411,112.75788940000001,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.268991064,112.67227679999999,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
-7.300268353,112.75572939999999,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.222300129,112.74793989999999,11,"[164.72828230941175, 85.8467748917647, 66.99229465764705, 0.9]"
-7.223064367,112.7410148,11,"[164.72828230941175, 85.8467748917647, 66.99229465764705, 0.9]"
-7.256512,112.654692,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.257910689,112.65748400000001,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.248873147,112.72764380000001,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.287805183,112.6958868,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.32845419,112.69969240000002,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.33770432,112.80470449999999,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.328966136,112.67721709999998,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.272475217999999,112.751826,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.273666734,112.73487539999999,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.226300682000001,112.72862820000002,47,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.254347999999999,112.75258600000001,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.261794409,112.67045390000001,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
-7.246314856000001,112.7426044,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.210374595,112.7634076,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.245817497000001,112.74680719999999,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.228709263,112.73700829999999,60,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.326926006,112.6998574,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.223320768,112.7449392,11,"[164.72828230941175, 85.8467748917647, 66.99229465764705, 0.9]"
-7.249659941,112.75166029999998,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.246595953,112.7528876,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.250954011,112.7287284,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.250991893999999,112.79112859999998,50,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.247466867000001,112.7685185,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.334626437000001,112.7460851,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.302235726,112.79019270000002,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.306556101,112.732408,20,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
-7.3218820000000004,112.7401706,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.258405251,112.7497875,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.340452956,112.6981625,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.326025017,112.699354,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.296920307000001,112.75405400000001,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.305287043,112.77534059999999,21,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.339495746,112.71658219999999,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.335917245,112.72251640000002,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.262491351,112.7584269,41,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.33743,112.804776,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.3352175939999995,112.7267351,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.265682282,112.7746809,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.3018351710000005,112.65864209999998,26,"[168.43927854, 146.2026062230588, 134.48816524517648, 0.9]"
-7.332242829,112.7240759,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.245991312999999,112.75203159999998,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.299473464,112.75324950000001,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.287270601,112.69632450000002,53,"[73.72999740141177, 97.3365315727059, 168.3980500475294, 0.9]"
-7.316344328,112.73694669999999,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.2516616570000005,112.7172029,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.325836285,112.72776640000001,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.325454393999999,112.74721159999999,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.303554495,112.73255390000001,20,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
