kode,lat,lng,jml
SMP1,-7.272850362354251,112.79501722281978,103
SMP2,0.0,0.0,1
SMP3,-7.250262653854702,112.72393502287534,468
SMP4,-7.305344369961397,112.66492347793343,173
SMP5,-7.299950203487175,112.75213031279452,446
SMP6,-7.240435804739941,112.6282034848686,202
SMP7,-7.23054707574912,112.76353148591357,476
SMP8,-7.33070502525697,112.71239160469155,229
SMP9,-7.277462489746941,112.67769101726148,114
SMP10,-7.317716142636685,112.78052118218103,263
SMP11,-7.26880215146266,112.70392826863984,276
SMP12,-7.249739702818061,112.75298924425543,481
SMP13,-7.220410992543718,112.75451502441891,633
SMP14,-7.288699240948826,112.7263427826563,261
SMP15,-7.25210141954395,112.64274784809399,408
SMP16,-7.235783742474106,112.71251985777427,395
SMP17,-7.267502943453278,112.72331957797368,414
SMP18,-7.275446906255861,112.76583400172126,336
SMP19,-7.2645074533261065,112.67098311427254,298
SMP20,-7.317620121244962,112.73644257616597,268
SMP21,-7.311834348002714,112.79834322380297,193
SMP22,-7.315313086871867,112.70901502892482,336
SMP23,-7.243440984547421,112.77463203389567,260
SMP24,-7.033645823896139,112.63974859068254,3
SMP25,-7.2275722128808555,112.73267571613749,262
SMP26,-7.347399107691749,112.67038216485001,46
SMP27,-7.308800216386544,112.76319365407701,279
SMP28,-7.215893043723397,112.76941512640555,497
SMP29,-7.303357048014383,112.6423320432361,110
SMP30,-7.300530465283836,112.73759910441927,230
SMP31,-7.29054579489875,112.8032485294572,97
SMP32,-7.255231989265045,112.71055378183783,475
SMP33,-7.330727158859353,112.68615576655925,118
SMP34,-7.338830652765431,112.72817838596478,235
SMP35,-7.333211296640565,112.7998942424818,159
SMP36,-7.273058928188876,112.73501202653274,433
SMP37,-7.247771990261261,112.79134750248902,143
SMP38,-7.261521436374306,112.66023661195796,367
SMP39,-7.23145214455763,112.74901519324828,565
SMP40,-7.329450933929407,112.7486306721963,224
SMP41,-7.260587739618569,112.73513427072132,286
SMP42,-7.260624283195972,112.77641919030442,163
SMP43,-7.305479063895751,112.72746897114054,289
SMP44,-7.2311171509967656,112.60838689651602,162
SMP45,-7.260075003281871,112.68343204259006,140
SMP46,-7.329141890730159,112.70150176335399,219
SMP47,-7.294689788046139,112.77487837370018,250
SMP48,-7.276697070545622,112.64357618523293,98
SMP49,-7.207810365936918,112.65240830424783,23
SMP50,-7.287475892566487,112.70415655901574,233
SMP51,-7.284589716649452,112.74946887904366,263
SMP52,-7.238653020106549,112.72688891730394,401
SMP53,-7.241963885023782,112.76379183177468,430
SMP54,-7.310586207847638,112.6862695496484,184
SMP55,-7.328986099821828,112.76840917764814,242
SMP56,-7.214747025890485,112.73433716734904,182
SMP57,-7.272892842870535,112.75420753158214,250
SMP58,-7.318715878741107,112.65595201801149,88
SMP59,-7.272802271242182,112.71504593136319,378
SMP60,-7.25803520255585,112.76387167281663,559
SMP61,-7.2311924019865685,112.77933728825813,347
SMP62,-7.278627119419305,112.72258234816505,508
SMP63,-7.3373273669447565,112.77972685554158,112
