kode,lat,lng,jml,polygons,colors
SMP1,-7.272850362354251,112.79501722281978,103,"[[112.78095399,  -7.28008726], [112.78821055,  -7.28677877], [112.86894204,  -7.24922526], [112.78959785,  -7.2608357 ], [112.78047574,  -7.27471204]]","[230.178026989, 114.22438052599998, 89.178950253, 0.9]"
SMP2,0.0,0.0,1,"[[  38.00902159, -284.7005623 ], [ 53.64620419, -44.90858781], [ 54.31008737, -34.66927599], [56.64921306,  1.75734594], [ 71.62535256, 241.59151314]]","[179.94665529, 3.9668208, 38.30936706, 0.9]"
SMP3,-7.250262653854702,112.72393502287534,468,"[[112.71946777,  -7.25873431], [112.71467368,  -7.24582498], [112.71860464,  -7.24272582], [112.73694143,  -7.24739133], [112.72626027,  -7.25897679]]","[144.121303212, 178.35680346, 254.14194288000002, 0.9]"
SMP4,-7.305344369961397,112.66492347793343,173,"[[112.66042404,  -7.28641984], [112.65483899,  -7.29058169], [112.6533694,  -7.3072877], [112.67259528,  -7.32018708], [112.67881886,  -7.29484311]]","[245.770544391, 161.718045705, 130.998816534, 0.9]"
SMP5,-7.299950203487175,112.75213031279452,446,"[[112.7445894 ,  -7.29334597], [112.7618921 ,  -7.29034802], [112.7634598 ,  -7.29712739], [112.75004473,  -7.31389749], [112.74523972,  -7.3096315 ]]","[156.55282645500006, 188.68036048500005, 254.781304875, 0.9]"
SMP6,-7.240435804739941,112.6282034848686,202,"[[112.64841348,  -7.23013811], [112.6203165 ,  -7.26516864], [112.60052887,  -7.27355746], [112.62805068,  -7.21503094]]","[247.228008441, 178.712381244, 149.81454447, 0.9]"
SMP7,-7.23054707574912,112.76353148591357,476,"[[112.75609173,  -7.22808675], [112.75661106,  -7.23641626], [112.77011044,  -7.23610842], [112.77126094,  -7.23511794], [112.77166166,  -7.2253032 ], [112.76308988,  -7.2218616 ]]","[139.96342393199998, 174.70141421999998, 253.56668080800003, 0.9]"
SMP8,-7.33070502525697,112.71239160469155,229,"[[112.70784931,  -7.32363515], [112.70185513,  -7.36539464], [112.70301663,  -7.36831748], [112.72509874,  -7.3254155 ], [112.72239422,  -7.32044439]]","[245.490610974, 192.157123372, 167.17830886299998, 0.9]"
SMP9,-7.277462489746941,112.67769101726148,114,"[[112.69250879,  -7.27828002], [112.69044666,  -7.27203263], [112.67937434,  -7.26837676], [112.66155641,  -7.27760258], [112.66059833,  -7.27865161], [112.66042404,  -7.28641984], [112.67881886,  -7.29484311], [112.68704844,  -7.29271177]]","[233.36506660499998, 121.61626442999999, 94.905750765, 0.9]"
SMP10,-7.317716142636685,112.78052118218103,263,"[[112.77827622,  -7.32744691], [112.78829687,  -7.32785279], [112.79215586,  -7.32302802], [112.78593691,  -7.30418438], [112.77516852,  -7.30682327], [112.76944192,  -7.31795254]]","[239.273220865, 206.27372076799998, 188.99618633199998, 0.9]"
SMP11,-7.26880215146266,112.70392826863984,276,"[[112.71184007,  -7.26426252], [112.69686772,  -7.25695239], [112.69044666,  -7.27203263], [112.69250879,  -7.27828002], [112.70685972,  -7.27810458]]","[236.018672865, 210.506911008, 196.639758492, 0.9]"
SMP12,-7.249739702818061,112.75298924425543,481,"[[112.74049892,  -7.24287839], [112.75411967,  -7.23991847], [112.76138488,  -7.2500117 ], [112.75273287,  -7.26136182], [112.74797946,  -7.26161193], [112.73889367,  -7.24665747]]","[137.191075004, 172.09990638, 252.889082856, 0.9]"
SMP13,-7.220410992543718,112.75451502441891,633,"[[112.74326941,  -7.22169968], [112.75609173,  -7.22808675], [112.76308988,  -7.2218616 ], [112.75277394,  -7.18783985]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP14,-7.288699240948826,112.7263427826563,261,"[[112.71530511,  -7.28708212], [112.71470818,  -7.29790781], [112.72955731,  -7.2969112 ], [112.73825907,  -7.28863228], [112.73755915,  -7.28469356], [112.73117736,  -7.28115621]]","[239.924130465, 205.42708272, 187.46747190000002, 0.9]"
SMP15,-7.25210141954395,112.64274784809399,408,"[[112.64841348,  -7.23013811], [112.66402524,  -7.23354323], [112.64748358,  -7.2642537 ], [112.6203165 ,  -7.26516864]]","[178.10579204600003, 203.859720449, 251.06725145899998, 0.9]"
SMP16,-7.235783742474106,112.71251985777427,395,"[[112.71860464,  -7.24272582], [112.72139853,  -7.2287343 ], [112.71746602,  -7.21908165], [112.69471024,  -7.19548148], [112.68020565,  -7.22665015], [112.69451688,  -7.24378727], [112.71467368,  -7.24582498]]","[184.63054983, 207.802150125, 248.79099751500002, 0.9]"
SMP17,-7.267502943453278,112.72331957797368,414,"[[112.72096383,  -7.27293334], [112.71490776,  -7.26347821], [112.71946777,  -7.25873431], [112.72626027,  -7.25897679], [112.73082855,  -7.26678173], [112.72769351,  -7.27337933]]","[174.17919879800002, 201.46086985699998, 252.39094918700002, 0.9]"
