lat,lng,class,colors
-7.32767358785,112.798775007,34,"[146.46466473882353, 153.77073093882353, 165.3264184517647, 0.9]"
-7.241857178217339,112.77097469967843,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.2527330684899995,112.658573011,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.23756903848,112.625769608,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.306233799752007,112.7325742165436,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.330620460236286,112.78816575242823,62,"[41.365026, 53.76923388, 135.66296754, 0.9]"
-7.236882748171822,112.63020124232791,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.330742824946202,112.74735064092829,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.234903926048234,112.77639793595104,60,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.345145550780001,112.724402059,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.316575099195683,112.75430757377224,26,"[168.43927854, 146.2026062230588, 134.48816524517648, 0.9]"
-7.28158738379,112.723985534,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.28061191382,112.76085138399999,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.275837890098399,112.77371106947159,17,"[173.68404986470588, 115.22863405058821, 93.56500776705883, 0.9]"
-7.29625666974,112.758269471,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.229668206958227,112.68510274693205,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.3094788269,112.64529851,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.2666505688,112.75581497600001,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.307667747969999,112.72555565299999,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.290139359941727,112.81260580147215,30,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
-7.2232802785,112.74965942799999,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.308709031409491,112.67361420403441,3,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.334832921802884,112.77456336422267,62,"[41.365026, 53.76923388, 135.66296754, 0.9]"
-7.2418907072109775,112.79123149070723,36,"[139.92795591388239, 151.36581869082355, 170.3068742865882, 0.9]"
-7.2978963088910875,112.75866515615357,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
