kode,lat,lng,jml
SMP1,-7.232203297941564,112.74693445263128,179
SMP2,-7.244672283953333,112.78615632300428,234
SMP3,-7.238708357445084,112.74782435812291,179
SMP4,-7.226588571843212,112.76760175563348,221
SMP5,-7.266108464378679,112.75754861248427,159
SMP6,-7.247675535276413,112.75176085473913,184
SMP7,-7.301814041706364,112.78070182086364,66
SMP8,-7.262569436315216,112.70933767030981,255
SMP9,-7.323668315100688,112.7397627072964,334
SMP10,-7.23481513411461,112.72823667559281,334
SMP11,-7.314424143914668,112.68803829262583,302
SMP12,-7.264969313858539,112.67230143612785,219
SMP13,-7.334698847055441,112.72028924177032,283
SMP14,-7.257842581383791,112.65701943401308,153
SMP15,-7.311696514122239,112.6488422783125,192
SMP16,-7.255855416261844,112.75117673820567,141
SMP17,-7.323551464872165,112.70241941216591,440
SMP18,-7.2236677884097045,112.74686319093358,271
SMP19,-7.232614391833564,112.77988727080852,188
SMP20,-7.3068393970898935,112.66113918464096,376
SMP21,-7.218791104070055,112.7655685929558,181
SMP22,-7.268125338020971,112.65670175955987,309
SMP23,-7.249749950856983,112.7264044077933,179
SMP24,-7.333662955408088,112.74762055644852,136
SMP25,-7.2284287846793935,112.77595781912795,297
SMP26,-7.2793828321838925,112.71030747054199,131
SMP27,-7.2569323512651405,112.73649027765421,107
SMP28,-7.313285888108519,112.71509632879423,243
SMP29,-7.249731370680482,112.7654858755889,270
SMP30,-7.258056519492896,112.66126105813132,297
SMP31,-7.235753126663923,112.61312520111154,260
SMP32,-7.321073548653597,112.78228546445455,253
SMP33,-7.308661922478608,112.76070879547896,309
SMP34,-7.328023496792765,112.77347350503409,264
SMP35,-7.29768243188089,112.7454844035127,236
SMP36,-7.334208725782053,112.69253848514448,263
SMP37,-7.275296270404064,112.73188956633334,219
SMP38,-7.323339484959842,112.76024331140526,190
SMP39,-7.285522746687297,112.71384024178829,222
SMP40,-7.259855392713482,112.73400040359702,201
SMP41,-7.306107332817768,112.78901279673953,215
SMP42,-7.247667940923533,112.71515065228144,167
SMP43,-7.306087690370288,112.73189028775961,208
SMP44,-7.252625132286098,112.63708933885853,205
SMP45,-7.282809207147677,112.69794503922222,198
SMP46,-7.261084301745795,112.7829859795282,195
SMP47,-7.329901400025,112.71589570504494,178
SMP48,-7.21243646861617,112.65745551704255,47
SMP49,-7.29033779090217,112.77928575383069,189
SMP50,-7.21423586779,112.75870897496226,159
SMP51,-7.232526126250843,112.77757006419662,178
SMP52,-7.296051599125513,112.75433915467308,156
SMP53,-7.238051693269935,112.75166952601948,154
SMP54,-7.27482066796915,112.74996730976471,153
SMP55,-7.225144200642829,112.73093335925,152
SMP56,-7.264016454188068,112.6973949636207,145
SMP57,-7.336245431276016,112.73754033084553,123
SMP58,-7.328274204011982,112.68774356526126,111
SMP59,-7.230866582745909,112.73233341443637,110
SMP60,-7.242777415630367,112.73239982651376,109
SMP61,-7.322924041093295,112.68402983272728,88
SMP62,-7.322845150842375,112.7210151440375,80
SMP63,-7.337711964008412,112.79497985353969,63
