kode,lat,lng,jml,polygons,colors
SMP1,-7.232203297941564,112.74693445263128,179,"[[112.73995815,  -7.22799349], [112.75684879,  -7.22785247], [112.75710819,  -7.22880731], [112.74920491,  -7.23520609], [112.73917219,  -7.23657859]]","[246.891866745, 183.8152455, 156.13471279, 0.9]"
SMP2,-7.244672283953333,112.78615632300428,234,"[[112.77840592,  -7.24104319], [112.77491735,  -7.2435093 ], [112.77684514,  -7.25138584], [112.87908371,  -7.27113548], [113.1203346 ,  -7.25991832], [352.31249002,  15.4241589 ], [325.9535012 , 103.59141292]]","[227.413307491, 217.253185646, 211.416744935, 0.9]"
SMP3,-7.238708357445084,112.74782435812291,179,"[[112.73906789,  -7.23678463], [112.74169583,  -7.24674635], [112.75051458,  -7.24287501], [112.74920491,  -7.23520609], [112.73917219,  -7.23657859]]","[246.891866745, 183.8152455, 156.13471279, 0.9]"
SMP4,-7.226588571843212,112.76760175563348,221,"[[112.77059108,  -7.23290639], [112.76741441,  -7.23823957], [112.76364679,  -7.2378951 ], [112.75710819,  -7.22880731], [112.75684879,  -7.22785247], [112.75723242,  -7.22512854], [112.77322213,  -7.22095928]]","[234.440877171, 211.9745445, 199.632775764, 0.9]"
SMP5,-7.266108464378679,112.75754861248427,159,"[[112.7724429 ,  -7.27461149], [112.76558931,  -7.28076013], [112.74765278,  -7.26515188], [112.76026578,  -7.25731339], [112.76995371,  -7.26200871]]","[246.56513677499998, 166.252004514, 135.659264484, 0.9]"
SMP6,-7.247675535276413,112.75176085473913,184,"[[112.74141928,  -7.24783949], [112.74345214,  -7.25119301], [112.75809385,  -7.25223856], [112.75950918,  -7.24278965], [112.75051458,  -7.24287501], [112.74169583,  -7.24674635]]","[246.30421903799999, 188.736168844, 162.44971539099998, 0.9]"
SMP7,-7.301814041706364,112.78070182086364,66,"[[112.77306818,  -7.31213659], [112.76807107,  -7.29754707], [112.78953885,  -7.29489814], [112.78096941,  -7.3114869 ]]","[197.455896789, 50.938613352, 51.646311381, 0.9]"
SMP8,-7.262569436315216,112.70933767030981,255,"[[112.71909712,  -7.25779198], [112.70188633,  -7.25107816], [112.70433558,  -7.27129262], [112.7197848 ,  -7.27040151], [112.72220778,  -7.26610801], [112.7216695 ,  -7.26121663]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP9,-7.323668315100688,112.7397627072964,334,"[[112.74699182,  -7.3116372 ], [112.74987714,  -7.31566457], [112.75000618,  -7.3237011 ], [112.74142576,  -7.33044708], [112.73016061,  -7.32845653], [112.73065514,  -7.31719368], [112.74435862,  -7.31105741]]","[148.278967788, 181.92990185999997, 254.57016, 0.9]"
SMP10,-7.23481513411461,112.72823667559281,334,"[[112.72677108,  -7.22919502], [112.70348413,  -7.22270159], [112.72208528,  -7.24164026], [112.72434803,  -7.24191786], [112.7341128 ,  -7.23681226]]","[148.278967788, 181.92990185999997, 254.57016, 0.9]"
SMP11,-7.314424143914668,112.68803829262583,302,"[[112.70103227,  -7.30113625], [112.67919562,  -7.29429359], [112.6739305 ,  -7.31296618], [112.69188686,  -7.32143421], [112.69365234,  -7.32147178], [112.7013758 ,  -7.30930259]]","[175.488063214, 202.26048672099998, 251.949716611, 0.9]"
SMP12,-7.264969313858539,112.67230143612785,219,"[[112.68520077,  -7.27377781], [112.68370849,  -7.23447854], [112.66428851,  -7.26549406], [112.66851456,  -7.28638269], [112.6751931 ,  -7.28816314]]","[235.283770419, 211.28487522, 198.14886939599998, 0.9]"
SMP13,-7.334698847055441,112.72028924177032,283,"[[112.72946707,  -7.32931181], [112.70087123,  -7.64827886], [112.70626052,  -7.34313591], [112.72186392,  -7.3288462 ]]","[192.17070758999998, 211.709377005, 245.022145035, 0.9]"
SMP14,-7.257842581383791,112.65701943401308,153,"[[112.66028925,  -7.23516883], [112.65232718,  -7.23509237], [112.64512046,  -7.26262126], [112.65888317,  -7.26304644]]","[245.770544391, 161.718045705, 130.998816534, 0.9]"
SMP15,-7.311696514122239,112.6488422783125,192,"[[-104.82864695, -109.54757219], [   2.61049112, -220.94981894], [112.64950435,  -7.36407471], [112.65750531,  -7.34529962], [112.66274121,  -7.32889008], [112.64692862,  -7.28885688], [112.62719851,  -7.28529791], [112.59110917,  -7.29247831]]","[244.948205598, 194.43775972400002, 170.330704511, 0.9]"
