kode,lat,lng,jml
SMP29,-7.266138414541042,112.75685209163936,212
SMP57,-7.333962150879994,112.73600936345369,222
SMP13,-7.319806507079158,112.73959072969237,223
SMP44,-7.231533597910358,112.74673464253657,235
SMP5,-7.235499509675919,112.7291787759948,182
SMP22,-7.337050238222941,112.71757140095195,144
SMP40,-7.309136701195006,112.64578801122569,302
SMP52,-7.300697702601725,112.77806438394596,189
SMP34,-7.313944636894616,112.68852849034373,261
SMP17,-7.3218835553425015,112.76144146472667,276
SMP62,-7.337428964948645,112.79442889573231,127
SMP48,-7.296657334450544,112.75381597846331,233
SMP7,-7.224673068818218,112.73093615003965,193
SMP24,-7.330737759346236,112.69693104794608,259
SMP10,-7.275937554748479,112.73201361151308,257
SMP37,-7.248439746373886,112.75153682347454,192
SMP59,-7.320037765735534,112.68619856292047,200
SMP1,-7.255093419848088,112.7491098604732,99
SMP20,-7.268209408123765,112.65569559371447,306
SMP54,-7.233163938107231,112.77824624540668,267
SMP32,-7.306092258144435,112.73260415074151,204
SMP42,-7.248141263876611,112.71598778786675,254
SMP27,-7.213954063437131,112.75820355638471,210
SMP2,-7.243825577902991,112.73168830018052,107
SMP15,-7.225536112310953,112.77464767825985,110
SMP49,-7.332355554069039,112.74983328795483,223
SMP47,-7.264320761074561,112.67219722232502,274
SMP16,-7.323487730965622,112.70600089177746,277
SMP14,-7.236500030349131,112.61230014644882,252
SMP21,-7.314001956689185,112.71472263132023,302
SMP28,-7.307660943329011,112.6668838245733,260
SMP60,-7.2315613607010185,112.77834166951176,269
SMP45,-7.261274511068346,112.78330233439117,231
SMP18,-7.243417298830119,112.78644570687122,249
SMP36,-7.331044797800772,112.71748321434356,234
SMP33,-7.2819249986265575,112.69975850512952,255
SMP61,-7.257819621941804,112.65642523094557,221
SMP30,-7.308880966711237,112.79076882806604,233
SMP38,-7.232804280185647,112.7311227799107,214
SMP53,-7.252882775038395,112.63646284747863,204
SMP41,-7.238660633191706,112.75201574199237,202
SMP50,-7.263429042863855,112.69804546015345,201
SMP39,-7.30854225530408,112.75985175381133,198
SMP11,-7.224086374007525,112.74521458803194,196
SMP31,-7.218973330580641,112.766076692973,226
SMP58,-7.22817297413127,112.76766276582613,187
SMP23,-7.319065277891977,112.77820053389672,192
SMP4,-7.2597265986193635,112.73451985449775,190
SMP9,-7.249188749167237,112.76498239096622,206
SMP51,-7.333896160850531,112.68595017151914,188
SMP25,-7.2616632453490695,112.71284664399624,160
SMP56,-7.280069943808066,112.71131715844481,177
SMP26,-7.2564141085361875,112.66116457304005,164
SMP43,-7.249317339648317,112.73107279918199,149
SMP46,-7.288539530742224,112.71426902391707,153
SMP35,-7.3272882914172035,112.77129634828951,148
SMP55,-7.324973255695328,112.72244030406421,130
SMP19,-7.288662205148963,112.77713000250102,131
SMP12,-7.296937950321007,112.74498240654464,126
SMP8,-7.241398538508807,112.74658514329275,124
SMP6,-7.274974570463593,112.75152128393248,103
SMP3,-7.256245496655329,112.73696514389708,86
SMP63,-7.217155955417644,112.65664887949711,66
