kode,lat,lng,jml,polygons,colors
SMP29,-7.266138414541042,112.75685209163936,212,"[[112.76974463,  -7.26189784], [112.77179933,  -7.27307147], [112.76640512,  -7.27792781], [112.7459171 ,  -7.26556749], [112.75870594,  -7.25660288]]","[189.65732167, 210.40696804499999, 246.278429195, 0.9]"
SMP57,-7.333962150879994,112.73600936345369,222,"[[112.72652395,  -7.33391541], [112.75517362,  -7.50497323], [112.75778169,  -7.46102447], [112.74232516,  -7.32802918], [112.73192146,  -7.32539705], [112.72660051,  -7.33342921]]","[175.488063214, 202.26048672099998, 251.949716611, 0.9]"
SMP13,-7.319806507079158,112.73959072969237,223,"[[112.74232516,  -7.32802918], [112.73192146,  -7.32539705], [112.72922605,  -7.31644994], [112.74419767,  -7.30882281], [112.74713041,  -7.30951425], [112.75094154,  -7.31636933], [112.75046471,  -7.32138567]]","[174.17919879800002, 201.46086985699998, 252.39094918700002, 0.9]"
SMP44,-7.231533597910358,112.74673464253657,235,"[[112.73869487,  -7.22929586], [112.73926935,  -7.23635407], [112.74751035,  -7.23647896], [112.7571193 ,  -7.22935877], [112.7565248 ,  -7.22565659]]","[156.55282645500006, 188.68036048500005, 254.781304875, 0.9]"
SMP5,-7.235499509675919,112.7291787759948,182,"[[112.72290427,  -7.22892517], [112.70788917,  -7.22648788], [112.72273815,  -7.24198198], [112.73562254,  -7.23809855]]","[225.340220643, 218.307468078, 214.265705895, 0.9]"
SMP22,-7.337050238222941,112.71757140095195,144,"[[  88.85243222, -246.43711888], [ 111.57125283, -247.76577199], [112.75517362,  -7.50497323], [112.72652395,  -7.33391541], [112.70717897,  -7.33419948], [112.70715032,  -7.33422392], [112.69933718,  -7.35977111]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP40,-7.309136701195006,112.64578801122569,302,"[[-105.59716369, -107.88218897], [ -13.42699217, -211.85593585], [112.65813157,  -7.33406742], [112.6550286 ,  -7.28971079], [112.62804354,  -7.28317831], [112.59451867,  -7.2887357 ]]","[63.26326054, 83.13332094600001, 198.305506095, 0.9]"
SMP52,-7.300697702601725,112.77806438394596,189,"[[112.76606803,  -7.29791021], [112.7712463 ,  -7.30993253], [112.78115103,  -7.30985912], [112.79163006,  -7.29359051], [112.76646223,  -7.29554442]]","[217.099767443, 220.096954238, 224.67127507900003, 0.9]"
SMP34,-7.313944636894616,112.68852849034373,261,"[[112.70163268,  -7.31071885], [112.69633346,  -7.32042118], [112.67705406,  -7.313049  ], [112.68261563,  -7.29389173], [112.70024751,  -7.30007563], [112.70165286,  -7.30149954]]","[117.900371128, 152.956678464, 246.29358390699997, 0.9]"
SMP17,-7.3218835553425015,112.76144146472667,276,"[[112.76144731,  -7.33355985], [112.76954005,  -7.31880373], [112.76877336,  -7.31424455], [112.75094154,  -7.31636933], [112.75046471,  -7.32138567]]","[96.542553564, 128.48333538400001, 232.991360766, 0.9]"
SMP62,-7.337428964948645,112.79442889573231,127,"[[ 111.57125283, -247.76577199], [352.95505035,  13.10363585], [113.55293621,  -7.22567401], [112.79198832,  -7.32323324], [112.78362174,  -7.33062696], [112.76875928,  -7.36453067], [112.75778169,  -7.46102447], [112.75517362,  -7.50497323]]","[244.64310605499998, 155.627968905, 124.79237199, 0.9]"
SMP48,-7.296657334450544,112.75381597846331,233,"[[112.76606803,  -7.29791021], [112.74969862,  -7.30622344], [112.74906246,  -7.28619759], [112.76275979,  -7.284748  ], [112.76646223,  -7.29554442]]","[159.299325591, 190.82121424500002, 254.673463723, 0.9]"
SMP7,-7.224673068818218,112.73093615003965,193,"[[112.73824767,  -7.228573  ], [112.72290427,  -7.22892517], [112.70788917,  -7.22648788], [112.69411627,  -7.21771505], [112.70431622,  -7.11691486], [112.73708483,  -7.20027288]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
SMP24,-7.330737759346236,112.69693104794608,259,"[[112.69933718,  -7.35977111], [112.68992164,  -7.32703592], [112.69629473,  -7.32064348], [112.70715032,  -7.33422392]]","[122.00787408, 157.22372912, 248.043828335, 0.9]"
SMP10,-7.275937554748479,112.73201361151308,257,"[[112.72419569,  -7.26642968], [112.72037797,  -7.27155595], [112.72226439,  -7.28100375], [112.72941443,  -7.29107159], [112.73104617,  -7.29103963], [112.74219679,  -7.28415357], [112.74145357,  -7.26909778]]","[124.757834016, 160.021694176, 249.108354991, 0.9]"
SMP37,-7.248439746373886,112.75153682347454,192,"[[112.75853441,  -7.24388116], [112.75105766,  -7.243515  ], [112.74308065,  -7.24912477], [112.75794037,  -7.25454494]]","[214.034617907, 219.59754054200002, 228.09590967100002, 0.9]"
SMP59,-7.320037765735534,112.68619856292047,200,"[[112.69629473,  -7.32064348], [112.69633346,  -7.32042118], [112.67705406,  -7.313049  ], [112.66833917,  -7.32664909], [112.68992164,  -7.32703592]]","[205.2660135, 217.17487094199998, 236.17209398, 0.9]"
SMP1,-7.255093419848088,112.7491098604732,99,"[[112.75794037,  -7.25454494], [112.75870594,  -7.25660288], [112.7459171 ,  -7.26556749], [112.7444614 ,  -7.26574406], [112.74379376,  -7.26364163], [112.74242807,  -7.24924508], [112.74308065,  -7.24912477]]","[224.628578595, 102.59447596, 80.86437281, 0.9]"
SMP20,-7.268209408123765,112.65569559371447,306,"[[112.64474536,  -7.2622199 ], [112.66063929,  -7.26333607], [112.66357718,  -7.26469825], [112.6685667 ,  -7.28587146], [112.6550286 ,  -7.28971079], [112.62804354,  -7.28317831]]","[58.6004535, 76.17308133, 192.189204015, 0.9]"
SMP54,-7.233163938107231,112.77824624540668,267,"[[112.76901412,  -7.23902414], [112.77232321,  -7.23200713], [112.78896434,  -7.23299801], [112.77511453,  -7.2440735 ]]","[109.779256504, 144.045099072, 241.966801891, 0.9]"
SMP32,-7.306092258144435,112.73260415074151,204,"[[112.72941443,  -7.29107159], [112.71973994,  -7.30117732], [112.72564226,  -7.31452075], [112.72922605,  -7.31644994], [112.74419767,  -7.30882281], [112.73104617,  -7.29103963]]","[199.422524862, 214.930374228, 240.459860034, 0.9]"
SMP42,-7.248141263876611,112.71598778786675,254,"[[112.72289548,  -7.25687175], [112.70425243,  -7.25254098], [112.68669253,  -7.23193201], [112.69411627,  -7.21771505], [112.70788917,  -7.22648788], [112.72273815,  -7.24198198], [112.72376507,  -7.24571794]]","[128.88277391999998, 164.21864176000003, 250.705144975, 0.9]"
SMP27,-7.213954063437131,112.75820355638471,210,"[[112.70431622,  -7.11691486], [112.73708483,  -7.20027288], [112.75655221,  -7.22522881], [241.91468434, 195.37000805], [105.13286399, 233.02747129]]","[192.17070758999998, 211.709377005, 245.022145035, 0.9]"
SMP2,-7.243825577902991,112.73168830018052,107,"[[112.73837833,  -7.23795714], [112.73993806,  -7.24753056], [112.72376507,  -7.24571794], [112.72273815,  -7.24198198], [112.73562254,  -7.23809855]]","[231.771546797, 117.92032247799999, 92.042350509, 0.9]"
SMP15,-7.225536112310953,112.77464767825985,110,"[[112.76973029,  -7.22307997], [112.77267812,  -7.23088861], [112.96061815,  -7.11566534], [313.50530091, 125.20396023], [258.83728177, 183.54097193]]","[234.161826509, 123.464235406, 96.337450893, 0.9]"
SMP49,-7.332355554069039,112.74983328795483,223,"[[112.76875928,  -7.36453067], [112.76144731,  -7.33355985], [112.75046471,  -7.32138567], [112.74232516,  -7.32802918], [112.75778169,  -7.46102447]]","[174.17919879800002, 201.46086985699998, 252.39094918700002, 0.9]"
SMP47,-7.264320761074561,112.67219722232502,274,"[[112.66357718,  -7.26469825], [112.68415899,  -7.23597916], [112.68546792,  -7.27392125], [112.67716189,  -7.28692521], [112.6685667 ,  -7.28587146]]","[100.480627924, 133.215430736, 235.85365469799999, 0.9]"
