lat,lng,class,color
-7.319917983600337,112.73751516247994,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.341756214845987,112.72225979296664,36,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.241771424532644,112.60707683587366,14,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.274142892022432,112.7131420600467,56,"[65.42294316141177, 87.26106273317647, 162.1833996409412, 0.9]"
-7.311159867904951,112.6848335725161,34,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.246294570429076,112.71846229031723,42,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.251642074049236,112.7418860629432,43,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.240234805972428,112.74545858491652,8,"[153.42806430141175, 62.36855036894117, 50.462364365647055, 0.9]"
-7.260173779981263,112.66302280805441,61,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.317163783270555,112.67603391558569,28,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.3292658334281375,112.71597392787753,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.320627816912662,112.76894278000456,17,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.3185611159580874,112.7354733156416,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.262192030353747,112.71325655357712,25,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.302248853392965,112.75514515642256,48,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.268453701551228,112.66664804244873,61,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.233521923089698,112.73565332248607,38,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.348665164839311,112.66548487952706,51,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.3127787937017175,112.70642420004104,59,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.26033258034585,112.7393011093788,4,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.2795406529678255,112.75081575325413,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.259338126161504,112.66902653834896,47,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.342310548724239,112.72740037146248,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.272274105471076,112.73705189008258,10,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.316415528236452,112.76558525744908,17,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.266162172684788,112.67290781887057,47,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.321530575405547,112.7863188854142,30,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.3384195252663025,112.72670362943704,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.2428384793007465,112.75777441212072,41,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.271535416650517,112.7548861400772,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.272154662572037,112.78279775072652,45,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.282256503794628,112.75325043315166,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.267106899929951,112.66313894822667,20,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.262958992412658,112.7342409239658,4,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
