kode,lat,lng,jml
SMP1,-7.266201788090149,112.75706024549328,212
SMP2,-7.334131116563308,112.73608320312108,222
SMP3,-7.31974123272993,112.73989154929471,223
SMP4,-7.231595584261413,112.74686616460603,235
SMP5,-7.235410943513985,112.7293180301226,182
SMP6,-7.336997012640627,112.71765170029941,144
SMP7,-7.30910501929143,112.64607100561116,302
SMP8,-7.30077966775467,112.7778935942005,189
SMP9,-7.314035664086525,112.68854125128327,261
SMP10,-7.321801628106197,112.76159511360662,276
SMP11,-7.337560534747788,112.79464931632646,127
SMP12,-7.296469410899199,112.75395359599551,233
SMP13,-7.224716129112025,112.73055521198668,193
SMP14,-7.330657762692027,112.69708263466711,259
SMP15,-7.223826126995521,112.74514308665496,196
SMP16,-7.268210812267921,112.65579309445496,306
SMP17,-7.243600431273177,112.73220801808492,107
SMP18,-7.3082670648642996,112.75978725875324,198
SMP19,-7.331178469299121,112.71745052970137,234
SMP20,-7.2315847533353494,112.77826488543964,269
SMP21,-7.275916674645377,112.7319518054077,257
SMP22,-7.332442295910014,112.74987401797335,223
SMP23,-7.306571087687655,112.73264083765747,204
SMP24,-7.233266472525944,112.77847562419922,267
SMP25,-7.214151199678645,112.75823698499583,210
SMP26,-7.2480495141283745,112.71597331305816,254
SMP27,-7.236605389586713,112.6125963047599,252
SMP28,-7.288493510272469,112.71384960422655,153
SMP29,-7.313895652861528,112.71452807465627,302
SMP30,-7.243340810796039,112.78614626354432,249
SMP31,-7.3233747501943816,112.70600445850543,277
SMP32,-7.308792275517247,112.79063924892789,233
SMP33,-7.264465275447071,112.67229011653934,274
SMP34,-7.261250937364701,112.78320999841496,231
SMP35,-7.2189742943984365,112.76591978324507,226
SMP36,-7.249285982461402,112.76482118989382,206
SMP37,-7.248352554595227,112.751829350092,192
SMP38,-7.257583952998385,112.65632443120309,221
SMP39,-7.31991759165281,112.68606220802297,200
SMP40,-7.307656812976936,112.6666588272388,260
SMP41,-7.253064999113113,112.63662478796103,204
SMP42,-7.281903545519842,112.69991538928412,255
SMP43,-7.334007869556357,112.68605825308754,188
SMP44,-7.238629636577233,112.75225767864134,202
SMP45,-7.23283092202085,112.73100833823138,214
SMP46,-7.26340783725378,112.69820016323774,201
SMP47,-7.279979988704205,112.71141059131416,177
SMP48,-7.249581340537515,112.73113100266244,149
SMP49,-7.2599270156821705,112.73452557866858,190
SMP50,-7.2281723559860005,112.76754285581882,187
SMP51,-7.25657925703334,112.66129790068453,164
SMP52,-7.319269182839591,112.77815414569896,192
SMP53,-7.261333286499607,112.71286842272214,160
SMP54,-7.327416813111101,112.77128000438688,148
SMP55,-7.288332394265637,112.77727524089566,131
SMP56,-7.325028180725949,112.72213143426667,130
SMP57,-7.296693175421664,112.74508348068518,126
SMP58,-7.225546380274854,112.77450538729802,110
SMP59,-7.241740199993839,112.74681820382996,124
SMP60,-7.274858594506342,112.75163887619651,103
SMP61,-7.255235713197296,112.74949496999061,99
SMP62,-7.2565331195517,112.73673711695751,86
SMP63,-7.217180115558598,112.65681519494315,66
