kode,lat,lng,jml,polygons,colors
SMP29,-7.266201788090149,112.75706024549328,212,"[[112.76632956,  -7.27803272], [112.74633294,  -7.26550974], [112.75892818,  -7.25682054], [112.76976936,  -7.26179445], [112.77188325,  -7.27295975]]","[189.65732167, 210.40696804499999, 246.278429195, 0.9]"
SMP57,-7.334131116563308,112.73608320312108,222,"[[112.75822553,  -7.45779217], [112.75484613,  -7.51550399], [112.72658931,  -7.33377525], [112.72665971,  -7.33333102], [112.73188569,  -7.32532134], [112.74234206,  -7.32808866]]","[175.488063214, 202.26048672099998, 251.949716611, 0.9]"
SMP13,-7.31974123272993,112.73989154929471,223,"[[112.74234206,  -7.32808866], [112.73188569,  -7.32532134], [112.72939104,  -7.31694122], [112.74443885,  -7.30865677], [112.74710139,  -7.30925655], [112.7511672,  -7.3163065], [112.75067006,  -7.32154322]]","[174.17919879800002, 201.46086985699998, 252.39094918700002, 0.9]"
SMP44,-7.231595584261413,112.74686616460603,235,"[[112.73928149,  -7.23663215], [112.73871249,  -7.22932807], [112.75642689,  -7.22539945], [112.75646631,  -7.22542514], [112.75711205,  -7.22932553], [112.74752859,  -7.23667114]]","[156.55282645500006, 188.68036048500005, 254.781304875, 0.9]"
SMP5,-7.235410943513985,112.7293180301226,182,"[[112.72269072,  -7.22922533], [112.73571497,  -7.2377582 ], [112.72309996,  -7.2422099 ], [112.70933976,  -7.22768088]]","[225.340220643, 218.307468078, 214.265705895, 0.9]"
SMP22,-7.336997012640627,112.71765170029941,144,"[[  90.06862906, -246.55510752], [ 110.99647109, -247.77348927], [112.75484613,  -7.51550399], [112.72658931,  -7.33377525], [112.70717638,  -7.33444644], [112.69964185,  -7.35889384]]","[247.059937593, 181.26381337200002, 152.97462863, 0.9]"
SMP40,-7.30910501929143,112.64607100561116,302,"[[-105.54071516, -108.00684721], [ -14.35446276, -211.28219587], [112.65818207,  -7.33421371], [112.65504635,  -7.28963604], [112.62831713,  -7.2832815 ], [112.59435297,  -7.28900657]]","[63.26326054, 83.13332094600001, 198.305506095, 0.9]"
SMP52,-7.30077966775467,112.7778935942005,189,"[[112.77115527,  -7.31012122], [112.76606844,  -7.29782004], [112.76655748,  -7.29510383], [112.79112024,  -7.2938836 ], [112.78099961,  -7.30998249]]","[217.099767443, 220.096954238, 224.67127507900003, 0.9]"
SMP34,-7.314035664086525,112.68854125128327,261,"[[112.70151744,  -7.31076824], [112.69627788,  -7.32056572], [112.69607039,  -7.32067234], [112.67707006,  -7.31266431], [112.68255789,  -7.2938385 ], [112.69989411,  -7.29997518], [112.70146769,  -7.30153435]]","[117.900371128, 152.956678464, 246.29358390699997, 0.9]"
SMP17,-7.321801628106197,112.76159511360662,276,"[[112.76137707,  -7.33333739], [112.76965023,  -7.31906811], [112.76886633,  -7.31394237], [112.7511672,  -7.3163065], [112.75067006,  -7.32154322]]","[96.542553564, 128.48333538400001, 232.991360766, 0.9]"
SMP62,-7.337560534747788,112.79464931632646,127,"[[ 110.99647109, -247.77348927], [352.75460637,  14.3656129 ], [113.46267091,  -7.22978   ], [112.79213132,  -7.32324791], [112.78365956,  -7.33088775], [112.76882533,  -7.36506316], [112.75822553,  -7.45779217], [112.75484613,  -7.51550399]]","[244.64310605499998, 155.627968905, 124.79237199, 0.9]"
SMP48,-7.296469410899199,112.75395359599551,233,"[[112.76288679,  -7.28458321], [112.76655748,  -7.29510383], [112.76606844,  -7.29782004], [112.7497533 ,  -7.30588749], [112.7492527 ,  -7.28604355]]","[159.299325591, 190.82121424500002, 254.673463723, 0.9]"
SMP7,-7.224716129112025,112.73055521198668,193,"[[112.72269072,  -7.22922533], [112.73809891,  -7.22836494], [112.73625217,  -7.19809529], [112.70451818,  -7.11494726], [112.69397823,  -7.21808089], [112.70933976,  -7.22768088]]","[213.012901395, 219.43106931, 229.237454535, 0.9]"
