lat,lng,class,color
-7.3178639270438035,112.74034219964594,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.3425894181598,112.72478098835549,36,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.239459466883392,112.61080334380252,14,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.278044559969767,112.71458632316299,56,"[65.42294316141177, 87.26106273317647, 162.1833996409412, 0.9]"
-7.308902700054443,112.68232323234808,34,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.244591823795974,112.71791451248659,42,"[121.05683149058824, 140.91506048117648, 178.5567421122353, 0.9]"
-7.250098901212434,112.73917973754926,43,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.240141925569196,112.74760358854306,8,"[153.42806430141175, 62.36855036894117, 50.462364365647055, 0.9]"
-7.2604318231389176,112.66525521801523,61,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.317185104855522,112.67454910754692,28,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.326364827961286,112.71869336681357,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.31874962800671,112.769831234554,17,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.315937334090528,112.7339054529019,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.258589782433653,112.71328916306251,25,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.301176096639629,112.75269660820193,48,"[96.84075882635294, 121.48228685647058, 178.5099408395294, 0.9]"
-7.265458427155133,112.66533130198981,61,"[47.948664303529405, 63.5947935162353, 144.29471750964706, 0.9]"
-7.229645273944098,112.73586819693222,38,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.346543730207305,112.66471040641429,51,"[85.15263113788235, 109.99393877082352, 174.7140458872941, 0.9]"
-7.31054030797942,112.7029898559907,59,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.259733858421076,112.74037653905464,4,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.27829802208403,112.74765215519614,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.2610341632130275,112.66694635001517,47,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.341158629878095,112.72755976436962,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.2727988602524505,112.73557781186643,10,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.316203851834196,112.76625201188318,17,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.269078040276827,112.6718948060537,47,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.320114469367166,112.78725458365469,30,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.337071907573825,112.72617226410058,22,"[174.21729269717648, 130.65244345694117, 111.32806226117647, 0.9]"
-7.243313542568987,112.75378895931782,41,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.272712558368569,112.75159996932972,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.268858451885576,112.78211840327532,45,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.27924746025773,112.75013459203907,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.26729851177588,112.65963581151398,20,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.265601742401425,112.7325896818105,4,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.27872456068217,112.75625038952342,6,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.261047171877418,112.73360308737206,4,"[139.3806330275294, 35.956668248470585, 36.45621979835294, 0.9]"
-7.32612064345548,112.69706290041523,34,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.26849594619884,112.75643969148692,29,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.305984530761318,112.76262767828926,39,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.258256447307705,112.7871261931172,45,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.321467739967128,112.7381726883292,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.223141323163313,112.76301114245463,31,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
-7.230409582213242,112.60685402731342,14,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.311395403243406,112.71563551445429,21,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
-7.3206242874041285,112.74316326669836,13,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.226593817020394,112.736913036179,38,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.252678183580012,112.75864176462211,9,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.225522858483733,112.76932148124409,58,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.2244316592842175,112.74655952818377,11,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.311063459482198,112.69210272294592,34,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.221075430188368,112.7580738605456,31,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
