kode,lat,lng,jml,polygons,colors
SMP1,-7.260165380040229,112.68130011767909,349,"[[112.69057419,  -7.27161896], [112.69492337,  -7.26062484], [112.69095748,  -7.23932785], [112.68537133,  -7.23201746], [112.66979636,  -7.23883413], [112.6694818 ,  -7.24179704], [112.6743409 ,  -7.26619191]]","[239.273220865, 206.27372076799998, 188.99618633199998, 0.9]"
SMP2,-7.2684365384215575,112.77001649467115,520,"[[112.7706748 ,  -7.25882588], [112.78008867,  -7.26072499], [112.78634266,  -7.26955821], [112.78141244,  -7.28003781], [112.76536584,  -7.27645911], [112.76147255,  -7.26573882]]","[184.63054983, 207.802150125, 248.79099751500002, 0.9]"
SMP3,-7.317437787753473,112.73576415564706,357,"[[112.74513058,  -7.30946929], [112.7284455 ,  -7.31092138], [112.72112193,  -7.32165309], [112.72251061,  -7.32483711], [112.72679571,  -7.32710827], [112.73810803,  -7.32724394], [112.74569469,  -7.31984597]]","[237.971401665, 207.966996864, 192.05361519599998, 0.9]"
SMP4,-7.234259843419164,112.75097867558885,571,"[[112.74016314,  -7.2406376 ], [112.7393015 ,  -7.23743365], [112.74063761,  -7.23344258], [112.75370964,  -7.22703782], [112.75778966,  -7.22853795], [112.75969118,  -7.2328999 ], [112.7559484 ,  -7.24226129]]","[164.75876674499997, 194.93130661499998, 254.201457939, 0.9]"
SMP5,-7.273369208805689,112.7349580376234,621,"[[112.74577806,  -7.26605039], [112.72845865,  -7.26771921], [112.72679058,  -7.27089785], [112.72905742,  -7.27960045], [112.73721116,  -7.28425063], [112.74580758,  -7.27418956]]","[142.73541501999998, 177.16577066, 253.99920384, 0.9]"
SMP6,-7.2386090838715065,112.62858393802092,239,"[[112.63533763,  -7.21268618], [112.62009524,  -7.22801627], [112.62086667,  -7.25842279], [112.64783258,  -7.23104282]]","[246.56513677499998, 166.252004514, 135.659264484, 0.9]"
SMP7,-7.3104716374755085,112.68282895063473,334,"[[112.68627435,  -7.29158345], [112.66833218,  -7.29491587], [112.67307055,  -7.32610312], [112.69280075,  -7.31935103], [112.69611122,  -7.30080958]]","[242.033379614, 201.650243612, 181.273276547, 0.9]"
SMP8,-7.330762878385658,112.79984034808673,272,"[[ 199.15964259, -231.56332073], [352.9811785 ,   3.52307348], [112.92972181,  -7.3001857 ], [112.79101088,  -7.32138387], [112.78775889,  -7.32741257]]","[247.143973017, 179.98809730799996, 151.39458654999999, 0.9]"
SMP9,-7.316375443104239,112.75530564612443,217,"[[112.74513058,  -7.30946929], [112.74569469,  -7.31984597], [112.75820889,  -7.32677655], [112.76668415,  -7.3188464 ], [112.76708498,  -7.31552877], [112.75264516,  -7.30738104], [112.7451824 ,  -7.30938733]]","[244.64310605499998, 155.627968905, 124.79237199, 0.9]"
SMP10,-7.240545004176535,112.72760753468174,528,"[[112.73695489,  -7.24884613], [112.73135983,  -7.25053453], [112.71908457,  -7.24221904], [112.72282449,  -7.23186855], [112.7393015 ,  -7.23743365], [112.74016314,  -7.2406376 ]]","[182.032385294, 206.25857104099998, 249.743553731, 0.9]"
SMP11,-7.314471071072122,112.7052292072385,493,"[[112.69611122,  -7.30080958], [112.70706435,  -7.30067993], [112.71767497,  -7.31991138], [112.69798322,  -7.32363037], [112.69280075,  -7.31935103]]","[195.84876291, 213.44398098, 242.88449565, 0.9]"
