lat,lng,class,colors
-7.319584858200001,112.739307075,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.272455818819999,112.709904908,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.26373884859,112.662870467,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.33886197911,112.72588992600001,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.26276447903,112.769110075,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.316335614760001,112.702288774,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.242005794260002,112.611537269,34,"[146.46466473882353, 153.77073093882353, 165.3264184517647, 0.9]"
-7.280700186960001,112.71451459200001,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.2718050000000005,112.7666,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.283053754630001,112.765146683,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.22275062198,112.75514341799999,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.2935230425899995,112.751914355,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.218564757949999,112.75677148700001,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.306567429260001,112.71428123,54,"[69.99333695152941, 92.9337184037647, 165.84722695482355, 0.9]"
-7.27692010915,112.75593678,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.30944968795,112.685525772,6,"[150.30489679835293, 56.45597623623529, 46.76096731341176, 0.9]"
-7.263775891889999,112.797073269,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.310120413039999,112.741470299,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.24452311717,112.71959299299999,30,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
-7.247910844560001,112.737187835,9,"[159.91028833341176, 75.18652514823528, 59.02162398070588, 0.9]"
-7.24151630197,112.74818302799999,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.2591703694800005,112.663483001,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.24944478367,112.724892292,30,"[159.0636851597647, 154.09938923152941, 151.2463806317647, 0.9]"
-7.31026656038,112.70322625600001,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.315308145610001,112.67717093600001,6,"[150.30489679835293, 56.45597623623529, 46.76096731341176, 0.9]"
-7.3299449697800005,112.72047228,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.2378583791299995,112.626624276,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.282176364439999,112.75101532299999,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.319700099999999,112.7695685,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.31964383612,112.73597405,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.258192634369999,112.714567845,59,"[51.34909995529412, 68.42329607435295, 148.22433922447058, 0.9]"
-7.297136331060001,112.75417225700001,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.25021499256,112.64997890000001,43,"[113.41593540635293, 135.4529231470588, 179.73144222141175, 0.9]"
-7.26240238514,112.66210893799999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.22732538225,112.733052035,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.349528630449999,112.665274594,46,"[101.73268462023529, 125.89892008941176, 179.39431262117648, 0.9]"
-7.271624742699999,112.703350754,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.2410047753399995,112.77429740299999,32,"[152.52568301011766, 155.2450468277647, 159.39728466564705, 0.9]"
-7.221593335619999,112.756517566,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.259810000000001,112.762274,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.312178,112.699211,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.234054800289999,112.765408779,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.21787947984,112.77640211299999,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.25878180636,112.742071546,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.2768672296500005,112.75177750700001,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.261794408819999,112.67045387600001,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.300461670700001,112.74911856,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.336799800589999,112.702369483,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.33919956094,112.723989066,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.272128327230001,112.73308604399999,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.24294314398,112.76607407700001,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.21257733537,112.74509352700001,58,"[54.751371660705885, 73.25007891105882, 152.14729080564706, 0.9]"
-7.271668656089999,112.70621396899999,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.3135580000000004,112.76715,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.24083460761,112.62756707700001,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.27960495234,112.75060231299999,38,"[132.98867908941176, 148.0628919282353, 174.2869914882353, 0.9]"
-7.266813121389999,112.66947665299999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.273238071360001,112.73868545399999,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.31769778638,112.78740165,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.260754780669999,112.679491156,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.340133329560001,112.724494814,35,"[143.29149657458825, 152.76477704188235, 168.02486429505882, 0.9]"
-7.27494077731,112.638140103,11,"[164.72828230941175, 85.8467748917647, 66.99229465764705, 0.9]"
-7.272455818819999,112.709904908,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.24512155503,112.755804846,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.27223728334,112.752731495,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.26810470921,112.778437798,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.275524900000001,112.75161000000001,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.2692331469300004,112.66294099299999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.3295485105800005,112.78610252799999,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.2642379366,112.73329273899999,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.27482960791,112.754035209,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.260754780669999,112.679491156,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.267964849760001,112.79770105899999,18,"[174.18796674, 119.3351422432941, 97.97817345035293, 0.9]"
-7.2642379366,112.73329273899999,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.325139546619999,112.693839799,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.2727639023899995,112.755673665,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.309787250389999,112.762321121,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.2801551663,112.72333480200001,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.23020845464,112.76085494,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.25740903031,112.784542843,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.2458624905999995,112.64359718200001,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.250105340419999,112.642742735,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.31843600375,112.73920652700001,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.26969782532,112.66720184299999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.22002625668,112.763116454,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.226184511910001,112.60815264799999,57,"[58.269314745882355, 77.96851929882352, 155.65002396705881, 0.9]"
-7.237062655369999,112.76643695700001,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.312835475,112.719569989,54,"[69.99333695152941, 92.9337184037647, 165.84722695482355, 0.9]"
-7.31936908791,112.745110004,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.2265822570600005,112.73345179200001,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.250056463049999,112.761546459,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.22896894645,112.77090382899999,16,"[172.8882110392941, 110.92975630941176, 89.18398808894118, 0.9]"
-7.259770671839999,112.75852587700001,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.22508011378,112.747480116,62,"[41.365026, 53.76923388, 135.66296754, 0.9]"
-7.258322,112.645367,43,"[113.41593540635293, 135.4529231470588, 179.73144222141175, 0.9]"
-7.283035749610001,112.80040268299999,18,"[174.18796674, 119.3351422432941, 97.97817345035293, 0.9]"
-7.3101843967699995,112.687759002,6,"[150.30489679835293, 56.45597623623529, 46.76096731341176, 0.9]"
-7.221563251669999,112.761624325,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.22133463963,112.760733389,37,"[136.53698862352942, 149.90158693058822, 172.51341385058822, 0.9]"
-7.267295,112.7544172,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.248775,112.75710600000001,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.25212515536,112.766022581,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.237863406739999,112.767681536,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.24042297375,112.76758611700001,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.30083495462,112.756815656,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.234110228239999,112.763744781,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.2612846826899995,112.70491515100001,59,"[51.34909995529412, 68.42329607435295, 148.22433922447058, 0.9]"
-7.289430363839999,112.72749178,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.3034664758000005,112.764363806,44,"[109.53852486141177, 132.43054136823528, 179.88368855364706, 0.9]"
-7.294361141939999,112.74822816700001,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.30420003272,112.657182675,26,"[168.43927854, 146.2026062230588, 134.48816524517648, 0.9]"
-7.33381253962,112.707171734,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.276419693889999,112.72576771700001,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.24809549262,112.71030542,59,"[51.34909995529412, 68.42329607435295, 148.22433922447058, 0.9]"
-7.31029408302,112.75460895,8,"[157.2124108595294, 69.65273503058822, 55.1398435157647, 0.9]"
-7.275344698,112.74117573299999,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.3118317,112.7439362,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.26466707746,112.677535026,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.27527563357,112.73959964,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.276585267080001,112.753495841,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.2390892101199995,112.779780414,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.25880652369,112.73519903,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.295490565730001,112.744578391,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.2365357999999995,112.6846061,0,"[127.02116844, 2.8001088, 27.04190616, 0.9]"
-7.28061191382,112.76085138399999,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.22892776786,112.73372005600001,29,"[161.917777188, 152.55004247999997, 147.202033392, 0.9]"
-7.256493790689999,112.76219326100001,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.270002238089999,112.725844119,20,"[174.4545691884706, 127.05042162917645, 106.86676697647057, 0.9]"
-7.26538687585,112.66765959799999,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.29204129788,112.747476104,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.2768672296500005,112.75177750700001,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.31896442267,112.786836919,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.331306958169999,112.702801926,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.307353924760001,112.741942659,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.2760159588499995,112.73376706100001,4,"[143.2687571075294, 43.53215136141176, 39.749354844, 0.9]"
-7.208138244060001,112.775917975,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.30394737421,112.749177407,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.236352429480001,112.781316546,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.26079712709,112.73600774799999,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.29552152525,112.74665885799999,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.28890574922,112.77449710200001,31,"[155.4105296322353, 155.7150832475294, 156.17409916729412, 0.9]"
-7.257127658080001,112.75268843100001,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.3343388556699995,112.698346934,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.2535274774000005,112.78559596299999,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.27482960791,112.754035209,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.298616010510001,112.720430766,54,"[69.99333695152941, 92.9337184037647, 165.84722695482355, 0.9]"
-7.2642379366,112.73329273899999,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.2512805373399996,112.763531729,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.276497999999999,112.787773,18,"[174.18796674, 119.3351422432941, 97.97817345035293, 0.9]"
-7.210824571389999,112.76973225299999,25,"[170.1972538037647, 143.749033296, 130.15897511364707, 0.9]"
-7.273173813500001,112.637408764,11,"[164.72828230941175, 85.8467748917647, 66.99229465764705, 0.9]"
-7.3244919480999995,112.702730761,19,"[174.47194241999998, 123.29671447482353, 102.41555872658823, 0.9]"
-7.274883999999999,112.756401,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.29904391959,112.74968653,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.231700869530001,112.71584056299999,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.261039567989999,112.797022142,13,"[168.62033037811764, 95.89491001976471, 75.25680110752941, 0.9]"
-7.287101150060001,112.721525999,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.27241812031,112.724872042,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.253662939710001,112.711086074,59,"[51.34909995529412, 68.42329607435295, 148.22433922447058, 0.9]"
-7.24779183999,112.764339865,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.31576130108,112.717966943,54,"[69.99333695152941, 92.9337184037647, 165.84722695482355, 0.9]"
-7.311877000000001,112.7091,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.2317696926399995,112.614321262,34,"[146.46466473882353, 153.77073093882353, 165.3264184517647, 0.9]"
-7.27401458704,112.721421175,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.33547851913,112.76926483,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
-7.271232539550001,112.71188354,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.309442692749999,112.717074131,54,"[69.99333695152941, 92.9337184037647, 165.84722695482355, 0.9]"
-7.255798986839999,112.71220776,59,"[51.34909995529412, 68.42329607435295, 148.22433922447058, 0.9]"
-7.29955499616,112.776839488,22,"[173.67036448235294, 134.03046142588235, 115.7829975635294, 0.9]"
-7.24103243163,112.770332308,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.246156526939999,112.76052172700001,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.31182358791,112.71197387299999,10,"[162.47860728635294, 80.62897448894117, 62.94984723741176, 0.9]"
-7.2771954669399985,112.723412756,14,"[170.25378818188236, 100.72169216258824, 79.4723974517647, 0.9]"
-7.253560085710001,112.74242175200001,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.29158864695,112.728039322,51,"[81.31294088470588, 105.87257788235293, 172.83622816588235, 0.9]"
-7.25773326755,112.67018237100001,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.294842266310001,112.74340268899999,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.300077951910001,112.754379985,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.23726330489,112.628075493,5,"[146.7915095894118, 50.000577691764704, 43.25284182, 0.9]"
-7.253323340770001,112.73868396799999,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.25786306158,112.663728925,40,"[124.79783126823529, 143.3365437070588, 177.53540049529414, 0.9]"
-7.23087837607,112.71648728299999,48,"[92.92685445741175, 117.80956990588236, 177.55333196611764, 0.9]"
-7.25726048952,112.765306528,56,"[61.789954218352946, 82.68365425129412, 159.1419458922353, 0.9]"
-7.251334150689999,112.63824017299999,27,"[166.60141614, 148.59311365270588, 138.80453540611765, 0.9]"
-7.30271393834,112.752568572,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.31200985003,112.73624589799999,2,"[135.48670939835296, 28.36361280564706, 33.16642367223529, 0.9]"
-7.223453999999999,112.786629,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.270011684249999,112.76189969,45,"[105.64578069176471, 129.26183623058822, 179.79734049882353, 0.9]"
-7.2668039443899985,112.730775864,49,"[89.03492751811764, 113.94400708517648, 176.21690704870588, 0.9]"
-7.30940655111,112.741640121,12,"[166.83893639788235, 90.9758783322353, 71.07585798847057, 0.9]"
-7.299574526810001,112.74828234,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.2759265079999995,112.70395769,28,"[164.29771106470588, 150.6027409835294, 143.01218011764703, 0.9]"
-7.24052274272,112.768310538,42,"[117.2516110482353, 138.26186759647058, 179.2604070232941, 0.9]"
-7.3232281308200005,112.784681575,33,"[149.60668104, 154.71237501599998, 162.55982856, 0.9]"
-7.295490565730001,112.744578391,23,"[172.9046157162353, 137.25018333458823, 120.23343847835292, 0.9]"
-7.340452955669999,112.698162511,39,"[128.49344844282354, 145.59428544070587, 176.2895673395294, 0.9]"
-7.2342898335,112.78263154,61,"[44.656419204705884, 58.68234419717648, 139.9803572435294, 0.9]"
-7.331425363049999,112.78337123899999,24,"[171.49692918070588, 140.93366356800001, 125.75623883505882, 0.9]"
-7.249473525089999,112.745459005,15,"[171.5496480444706, 105.33795611364705, 83.76707423294118, 0.9]"
-7.2603519736,112.775508852,1,"[131.25526773035293, 15.602208632470589, 30.103272612705883, 0.9]"
-7.330486362739999,112.766093618,52,"[77.49123988517647, 101.67889346258823, 170.8000954524706, 0.9]"
